,cod,message,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,rain,snow
289,200,,"{'lon': -85.97, 'lat': 15.8}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 297.82, 'feels_like': 300.95, 'temp_min': 297.82, 'temp_max': 297.82, 'pressure': 1014, 'humidity': 88, 'sea_level': 1014, 'grnd_level': 1009}",5418.0,"{'speed': 2.66, 'deg': 321}",{'all': 97},1606849892.0,"{'country': 'HN', 'sunrise': 1606823744, 'sunset': 1606864256}",-21600.0,3608377.0,La Brea,,
290,200,,"{'lon': -171, 'lat': 65.58}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 260.06, 'feels_like': 252.36, 'temp_min': 260.06, 'temp_max': 260.06, 'pressure': 993, 'humidity': 91, 'sea_level': 993, 'grnd_level': 991}",10000.0,"{'speed': 6.24, 'deg': 306}",{'all': 0},1606849893.0,"{'country': 'RU', 'sunrise': 1606943363, 'sunset': 1606958308}",43200.0,4031637.0,Lavrentiya,,
291,200,,"{'lon': -74.95, 'lat': 10.99}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 301.53, 'feels_like': 305.78, 'temp_min': 301.53, 'temp_max': 301.53, 'pressure': 1008, 'humidity': 77, 'sea_level': 1008, 'grnd_level': 1006}",10000.0,"{'speed': 2.2, 'deg': 28}",{'all': 100},1606849893.0,"{'country': 'CO', 'sunrise': 1606820610, 'sunset': 1606862099}",-18000.0,3671497.0,Puerto Colombia,{'1h': 0.74},
292,200,,"{'lon': 25.99, 'lat': 64.81}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 270.93, 'feels_like': 266.7, 'temp_min': 270.93, 'temp_max': 270.93, 'pressure': 1018, 'humidity': 98}",10000.0,"{'speed': 2.73, 'deg': 268}",{'all': 54},1606849893.0,"{'type': 3, 'id': 2003583, 'country': 'FI', 'sunrise': 1606808654, 'sunset': 1606825592}",7200.0,645765.0,Muhos,,
293,200,,"{'lon': -40.12, 'lat': -2.89}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 302.38, 'feels_like': 301.41, 'temp_min': 302.38, 'temp_max': 302.38, 'pressure': 1009, 'humidity': 64, 'sea_level': 1009, 'grnd_level': 1008}",10000.0,"{'speed': 7.88, 'deg': 81}",{'all': 23},1606849623.0,"{'country': 'BR', 'sunrise': 1606810899, 'sunset': 1606855087}",-10800.0,3408368.0,Acaraú,,
294,200,,"{'lon': -5.61, 'lat': 55.43}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 282.04, 'feels_like': 278.63, 'temp_min': 282.04, 'temp_max': 282.04, 'pressure': 1021, 'humidity': 92}",10000.0,"{'speed': 4.09, 'deg': 248}",{'all': 100},1606849893.0,"{'type': 3, 'id': 2006899, 'country': 'GB', 'sunrise': 1606811200, 'sunset': 1606838217}",0.0,2653915.0,Campbeltown,,
295,200,,"{'lon': -99.14, 'lat': 30.05}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 285.77, 'feels_like': 282.06, 'temp_min': 285.37, 'temp_max': 285.93, 'pressure': 1021, 'humidity': 32}",10000.0,"{'speed': 1.79, 'deg': 206, 'gust': 6.26}",{'all': 52},1606849894.0,"{'type': 3, 'id': 2006316, 'country': 'US', 'sunrise': 1606828537, 'sunset': 1606865787}",-21600.0,4703078.0,Kerrville,,
296,200,,"{'lon': -15.21, 'lat': 64.25}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 277.99, 'feels_like': 260.81, 'temp_min': 277.99, 'temp_max': 277.99, 'pressure': 985, 'humidity': 72, 'sea_level': 985, 'grnd_level': 985}",10000.0,"{'speed': 21.75, 'deg': 224}",{'all': 87},1606849894.0,"{'country': 'IS', 'sunrise': 1606818085, 'sunset': 1606835941}",0.0,2630299.0,Hofn,,
297,200,,"{'lon': 150.86, 'lat': -34.58}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 291.87, 'feels_like': 292.52, 'temp_min': 290.93, 'temp_max': 292.59, 'pressure': 1011, 'humidity': 83}",10000.0,"{'speed': 1.79, 'deg': 161, 'gust': 3.58}",{'all': 78},1606849894.0,"{'type': 3, 'id': 2033627, 'country': 'AU', 'sunrise': 1606847824, 'sunset': 1606899314}",39600.0,6255012.0,Flinders,,
298,200,,"{'lon': -151.75, 'lat': -16.48}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 300.13, 'feels_like': 300.24, 'temp_min': 300.13, 'temp_max': 300.13, 'pressure': 1015, 'humidity': 78, 'sea_level': 1015, 'grnd_level': 1007}",10000.0,"{'speed': 7.18, 'deg': 77}",{'all': 0},1606849894.0,"{'country': 'PF', 'sunrise': 1606836324, 'sunset': 1606883259}",-36000.0,4034551.0,Faanui,,
